DATE,year,month,gas_price,transp_ridership,cars_miles,percentage_variation
2007-05-01,2007,5,3.119,993437,267574,0.11912450663796208
2007-06-01,2007,6,3.024,876764,265374,-0.03045848028214177
2007-07-01,2007,7,2.947,860196,267106,-0.025462962962962948
2007-08-01,2007,8,2.777,908061,271225,-0.05768578215134032
2007-09-01,2007,9,2.817,903028,245965,0.01440403312927621
2007-10-01,2007,10,2.791,946754,261423,-0.009229676961306442
2007-11-01,2007,11,3.064,870712,245787,0.09781440343962743
2007-12-01,2007,12,2.984,808452,240281,-0.026109660574412556
2008-01-01,2008,1,3.018,852130,232920,0.01139410187667554
2008-02-01,2008,2,3.016,835901,221336,-0.0006626905235254406
2008-03-01,2008,3,3.215,889940,252343,0.06598143236074265
2008-04-01,2008,4,3.421,908295,252088,0.06407465007776049
2008-05-01,2008,5,3.735,912568,261466,0.09178602747734582
2008-06-01,2008,6,3.989,884081,257484,0.0680053547523427
2008-07-01,2008,7,4.002,910651,261600,0.0032589621459012037
2008-08-01,2008,8,3.74,890570,260609,-0.06546726636681649
2008-09-01,2008,9,3.709,929094,239607,-0.008288770053475973
2008-10-01,2008,10,3.01,971677,255848,-0.18846050148287954
2008-11-01,2008,11,2.099,839026,236465,-0.30265780730896996
2008-12-01,2008,12,1.669,835899,241742,-0.20485945688423066
2009-01-01,2009,1,1.772,827360,225529,0.06171360095865787
2009-02-01,2009,2,1.892,806287,217643,0.06772009029345366
2009-03-01,2009,3,1.937,897860,249741,0.0237843551797041
2009-04-01,2009,4,2.021,874039,251374,0.04336602994321107
2009-05-01,2009,5,2.24,856958,258276,0.10836219693221193
2009-06-01,2009,6,2.597,848878,258395,0.15937499999999988
2009-07-01,2009,7,2.478,843229,264472,-0.04582210242587592
2009-08-01,2009,8,2.562,825429,260297,0.03389830508474561
2009-09-01,2009,9,2.48,875511,241970,-0.032006245120999165
2009-10-01,2009,10,2.5,917949,252209,0.008064516129032265
2009-11-01,2009,11,2.614,830535,237264,0.04559999999999995
2009-12-01,2009,12,2.568,815176,239593,-0.017597551644988454
2010-01-01,2010,1,2.678,788830,220839,0.042834890965732036
2010-02-01,2010,2,2.603,746114,210635,-0.028005974607916255
2010-03-01,2010,3,2.742,893899,254238,0.053399923165578095
2010-04-01,2010,4,2.818,869986,253936,0.027716994894237807
2010-05-01,2010,5,2.795,853057,256927,-0.008161816891412396
2010-06-01,2010,6,2.684,842674,260083,-0.03971377459749544
2010-07-01,2010,7,2.679,819152,265315,-0.0018628912071536278
2010-08-01,2010,8,2.683,844979,263837,0.0014930944382232191
2010-09-01,2010,9,2.678,864777,244682,-0.0018635855385761811
2010-10-01,2010,10,2.766,888591,256395,0.03286034353995522
2010-11-01,2010,11,2.815,837848,239579,0.017715112075198818
2010-12-01,2010,12,2.951,812769,240800,0.048312611012433435
2011-01-01,2011,1,3.058,793606,223790,0.03625889528973221
2011-02-01,2011,2,3.168,780318,213463,0.03597122302158284
2011-03-01,2011,3,3.509,907771,253124,0.1076388888888888
2011-04-01,2011,4,3.746,856803,249578,0.0675406098603591
2011-05-01,2011,5,3.849,880563,254083,0.027495995728777416
2011-06-01,2011,6,3.628,861412,258350,-0.057417511041829065
2011-07-01,2011,7,3.614,824766,260175,-0.0038588754134510016
2011-08-01,2011,8,3.612,843294,260526,-0.0005534034311012119
2011-09-01,2011,9,3.573,891667,242062,-0.01079734219269107
2011-10-01,2011,10,3.4,919419,251906,-0.048418695773859516
2011-11-01,2011,11,3.33,862730,238535,-0.0205882352941176
2011-12-01,2011,12,3.22,839221,244810,-0.033033033033032996
2012-01-01,2012,1,3.33,842815,227527,0.034161490683229774
2012-02-01,2012,2,3.517,859341,218196,0.05615615615615611
2012-03-01,2012,3,3.774,913305,256166,0.07307364230878594
2012-04-01,2012,4,3.837,869426,249394,0.016693163751987327
2012-05-01,2012,5,3.643,899825,260774,-0.05056033359395371
2012-06-01,2012,6,3.465,851240,260376,-0.04886082898709853
2012-07-01,2012,7,3.379,848428,260244,-0.02481962481962478
2012-08-01,2012,8,3.668,893072,264379,0.08552826279964491
2012-09-01,2012,9,3.801,876994,238867,0.03625954198473282
2012-10-01,2012,10,3.653,924377,253574,-0.03893712181005002
2012-11-01,2012,11,3.38,862515,240361,-0.07473309608540929
2012-12-01,2012,12,3.256,824189,238709,-0.03668639053254441
2013-01-01,2013,1,3.255,864277,229419,-0.00030712530712527334
2013-02-01,2013,2,3.605,813156,215803,0.10752688172043014
2013-03-01,2013,3,3.648,888513,253026,0.011927877947295464
2013-04-01,2013,4,3.501,907511,252064,-0.04029605263157901
2013-05-01,2013,5,3.565,908338,263406,0.018280491288203388
2013-06-01,2013,6,3.576,851486,259980,0.003085553997194985
2013-07-01,2013,7,3.515,868341,263946,-0.017058165548098417
2013-08-01,2013,8,3.515,888310,268061,0.0
2013-09-01,2013,9,3.474,900750,242536,-0.01166429587482217
2013-10-01,2013,10,3.285,972481,258748,-0.05440414507772022
2013-11-01,2013,11,3.186,862513,240055,-0.030136986301369923
2013-12-01,2013,12,3.209,837436,241237,0.0072190834902699725
2014-01-01,2014,1,3.252,831824,226413,0.013399813025864663
2014-02-01,2014,2,3.305,812062,213949,0.016297662976629886
2014-03-01,2014,3,3.474,912986,253424,0.05113464447806355
2014-04-01,2014,4,3.59,920640,256736,0.033390903857225
2014-05-01,2014,5,3.601,923714,266237,0.003064066852367722
2014-06-01,2014,6,3.626,874436,263459,0.006942515967786701
2014-07-01,2014,7,3.539,886021,270053,-0.02399338113623821
2014-08-01,2014,8,3.425,887253,268831,-0.03221248940378647
2014-09-01,2014,9,3.354,931104,247688,-0.02072992700729919
2014-10-01,2014,10,3.12,986786,265144,-0.06976744186046512
2014-11-01,2014,11,2.875,841908,241451,-0.07852564102564105
2014-12-01,2014,12,2.488,864316,252271,-0.13460869565217393
2015-01-01,2015,1,2.046,818017,233498,-0.17765273311897112
2015-02-01,2015,2,2.152,779983,217220,0.05180840664711649
2015-03-01,2015,3,2.352,907646,258017,0.09293680297397756
2015-04-01,2015,4,2.369,901828,262817,0.007227891156462734
2015-05-01,2015,5,2.578,871727,270839,0.08822287885183605
2015-06-01,2015,6,2.7,878666,270574,0.04732350659425925
2015-07-01,2015,7,2.666,890344,278372,-0.012592592592592685
2015-08-01,2015,8,2.522,840937,272209,-0.05401350337584401
2015-09-01,2015,9,2.275,897493,255090,-0.09793814432989686
2015-10-01,2015,10,2.23,953141,268469,-0.019780219780219748
